id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
267;Frédéric Cuvillier;SRC;0;0;0;0
374;Pouria Amirshahi;SRC;0;0;0;0
513;Yves Goasdoue;SRC;0;0;0;0
516;Carole Delga;SRC;0;0;0;0
573;Gilbert Sauvan;SRC;0;0;0;0
599;Carlos Da Silva;SRC;0;0;0;0
28;Jean-Claude Perez;SRC;0;0;0;0
80;Jacqueline Maquet;SRC;0;0;0;0
191;Daniel Goldberg;SRC;0;0;0;0
210;Guy Delcourt;SRC;0;0;0;0
241;Aurélie Filippetti;SRC;0;0;0;0
289;Jean-Yves Le Déaut;SRC;0;0;0;0
361;Eduardo Rihan Cypel;SRC;0;0;0;0
365;Malek Boutih;SRC;0;0;0;0
410;Philippe Doucet;SRC;0;0;0;0
460;Jean-Pierre Blazy;SRC;0;0;0;0
505;Philippe Noguès;NI;0;0;0;0
520;Fabrice Verdier;SRC;0;0;0;0
552;Christophe Borgel;SRC;0;0;0;0
570;Vincent Burroni;SRC;0;0;0;0
