id;nom;groupe;amendements_adoptes;hemicycle_interventions;hemicycle_interventions_courtes;semaines_presence
167;Geneviève Levy;LES-REP;3;0;0;2
169;Serge Letchimy;SRC;0;0;0;1
170;Franck Marlin;LES-REP;3;0;0;1
171;Véronique Besse;NI;0;4;1;2
172;Laurence Dumont;SRC;2;76;529;2
173;Bernard Accoyer;LES-REP;3;0;0;2
174;Christophe Sirugue;SRC;8;4;4;2
175;Valérie Boyer;LES-REP;3;0;0;1
176;Gisèle Biémouret;SRC;8;0;0;1
177;Lionel Tardy;LES-REP;7;44;43;2
179;Geneviève Fioraso;SRC;0;0;0;2
180;Gérard Bapt;SRC;8;0;1;2
181;Arlette Grosskost;LES-REP;3;0;0;1
182;Jean-Pierre Door;LES-REP;3;0;0;3
183;Michel Piron;UDI;3;23;26;2
184;François Loncle;SRC;0;0;5;3
185;Philippe Goujon;LES-REP;4;0;0;1
186;Martial Saddier;LES-REP;5;1;0;2
187;Fernand Siré;LES-REP;4;0;0;2
188;Edouard Philippe;LES-REP;3;0;0;1
189;Éric Straumann;LES-REP;6;1;2;4
190;Philippe Meunier;LES-REP;3;0;1;2
193;Yves Durand;SRC;24;4;12;2
194;Guillaume Garot;SRC;0;0;7;2
195;Yves Albarello;LES-REP;3;7;1;2
197;Laurent Cathala;SRC;0;0;0;1
198;Conchita Lacuey;SRC;8;0;0;2
199;Germinal Peiro;SRC;0;12;3;1
200;Jean-François Mancel;LES-REP;3;0;0;1
201;Jean-Michel Villaumé;SRC;0;2;1;2
202;Jean-Yves Le Bouillonnec;SRC;0;0;0;1
206;Christian Kert;LES-REP;6;30;12;2
207;Jean-Claude Guibal;LES-REP;3;0;0;2
209;Claude Greff;LES-REP;3;0;3;1
211;Antoine Herth;LES-REP;3;6;1;1
212;Jean Launay;SRC;0;0;1;3
213;Gwendal Rouillard;SRC;0;0;0;2
215;Patricia Adam;SRC;10;7;0;2
217;Martine Martinel;SRC;24;5;1;2
219;Michèle Delaunay;SRC;8;2;0;2
221;Patrick Ollier;LES-REP;3;0;2;3
222;Yannick Favennec;UDI;1;1;2;3
224;Michel Sordi;LES-REP;3;0;1;1
225;André Chassaigne;GDR;0;4;2;2
226;Olivier Carré;LES-REP;3;0;0;2
227;Jean-Luc Warsmann;LES-REP;4;0;0;1
228;Pierre Morange;LES-REP;3;0;0;2
229;Guy Geoffroy;LES-REP;4;0;0;1
231;Philippe Plisson;SRC;0;0;1;2
232;Stéphane Demilly;UDI;1;4;1;1
234;Colette Langlade;SRC;24;2;1;2
235;Marie-Françoise Clergeau;SRC;12;1;3;2
236;Nicolas Dhuicq;LES-REP;3;13;12;2
237;Marie-Lou Marcel;SRC;0;0;0;4
238;Dominique Raimbourg;SRC;13;0;0;2
240;Nicolas Dupont-Aignan;NI;0;17;7;2
242;Élisabeth Guigou;SRC;0;9;8;3
243;Lucien Degauchy;LES-REP;3;0;0;1
244;Damien Meslot;LES-REP;3;0;0;2
245;Dominique Orliac;RRDP;1;0;0;1
246;Frédéric Reiss;LES-REP;5;1;0;1
247;Marie-Christine Dalloz;LES-REP;3;0;0;1
248;Hervé Mariton;LES-REP;3;0;0;1
249;Catherine Quéré;SRC;0;0;0;1
251;Frédérique Massat;SRC;0;0;0;1
252;Céleste Lett;LES-REP;3;0;2;2
254;Jean Lassalle;NI;1;0;0;1
255;Yves Fromion;LES-REP;7;0;12;2
256;Michel Ménard;SRC;28;0;0;2
257;Sylvie Andrieux;NI;0;0;0;2
258;Marc Francina;LES-REP;3;0;1;1
259;Jean-Pierre Giran;LES-REP;3;1;0;1
260;Gérard Charasse;RRDP;1;0;1;2
262;Christian Hutin;SRC;10;0;0;2
263;Dominique Bussereau;LES-REP;4;0;0;1
264;Axel Poniatowski;LES-REP;3;0;0;3
265;Guy Chambefort;SRC;0;0;0;1
266;Bruno Le Maire;LES-REP;3;0;2;1
271;Philippe Duron;SRC;0;0;0;2
273;Catherine Coutelle;SRC;1;0;0;2
274;Jean Glavany;SRC;0;1;6;2
275;Claude Bartolone;SRC;0;8;29;1
276;René Rouquet;SRC;0;0;0;1
